customer_id,name,age,gender,state,signup_date,email,phone_number,subscribe,age_bracket,signup_cohort,phone_valid
CUST0001,Gandi,26,Male,Sulawesi Utara,2025-05-05,gandi_96@example.com,8422757160,No,26-35,2025-05,Not Checked
CUST0002,Cecep,49,Male,Aceh,2025-06-02,cecep467@example.com,88171122035,No,46-60,2025-06,Not Checked
CUST0003,Artawan,26,Male,Jambi,2025-02-11,wahyuninovi@example.net,8692932468,Yes,26-35,2025-02,Not Checked
CUST0004,Mulya,61,Male,Nusa Tenggara Timur,2025-02-19,nnapitupulu@example.com,8515735210,Yes,60+,2025-02,Not Checked
CUST0005,Taufik,43,Male,Kepulauan Riau,2025-08-04,taufik_87@example.com,81034538051,Yes,36-45,2025-08,Not Checked
CUST0006,Genta,20,Female,Kalimantan Timur,2025-06-04,puyainah@example.com,818757946920,Yes,18-25,2025-06,Not Checked
CUST0007,Dimas,18,Male,Sumatera Barat,2024-11-14,224dimas@example.com,8189638436,No,<18,2024-11,Not Checked
CUST0008,Nilam,26,Female,Jawa Timur,2025-05-22,tariandriani@example.org,8649564474,Yes,26-35,2025-05,Not Checked
CUST0009,Emas,29,Male,Nusa Tenggara Timur,2023-11-30,emas288@example.com,8712019987,Yes,26-35,2023-11,Not Checked
CUST0010,Kani,64,Female,Kalimantan Utara,2025-03-05,asmiantosimbolon@example.org,8691418746,Yes,60+,2025-03,Not Checked
CUST0011,Putri,62,Female,Kepulauan Riau,2025-01-15,jailanidarsirah@example.org,811765466,Yes,60+,2025-01,Not Checked
CUST0012,Raditya,45,Male,Jawa Timur,2024-03-14,raditya_90@example.com,82220924900,Yes,36-45,2024-03,Not Checked
CUST0013,Olivia,21,Female,DKI Jakarta,2025-04-29,olivia35@example.com,88842000527,Yes,18-25,2025-04,Not Checked
CUST0014,Asmianto,35,Male,Sulawesi Tengah,2024-08-24,raharja94@example.net,830056278,Yes,26-35,2024-08,Not Checked
CUST0015,Karya,45,Male,Kalimantan Tengah,2024-05-16,prasastafebi@example.net,883184813718,Yes,36-45,2024-05,Not Checked
CUST0016,Enteng,18,Male,Kalimantan Tengah,2025-05-26,enteng782@example.com,819222439412,Yes,<18,2025-05,Not Checked
CUST0017,Belinda,27,Female,Sulawesi Utara,2024-12-15,belinda_94@example.com,87789167795,Yes,26-35,2024-12,Not Checked
CUST0018,Kania,54,Female,Jawa Tengah,2023-12-20,rusman50@example.org,82570741299,Yes,46-60,2023-12,Not Checked
CUST0019,Wirda,50,Female,Kalimantan Timur,2024-12-15,wirda_21@example.com,8167366035,Yes,46-60,2024-12,Not Checked
CUST0020,Ajimin,43,Male,Bengkulu,2024-10-09,ajimin354@example.com,857252618973,Yes,36-45,2024-10,Not Checked
CUST0514,Adinata,60,Male,Aceh,2023-12-11,bgunawan@example.net,8287301073,Yes,46-60,2023-12,Not Checked
CUST0021,Irfan,59,Male,Jawa Timur,2025-09-23,irfan560@example.com,89030985121,Yes,46-60,2025-09,Not Checked
CUST0022,Laras,25,Female,Gorontalo,2025-07-04,laras202@example.com,876149291,No,18-25,2025-07,Not Checked
CUST0023,Drajat,63,Male,Bengkulu,2023-11-08,586drajat@example.com,869239705010,Yes,60+,2023-11,Not Checked
CUST0024,Halima,49,Female,Sumatera Selatan,2024-05-28,vfirmansyah@example.com,8428991937,Yes,46-60,2024-05,Not Checked
CUST0025,Gina,25,Female,Sulawesi Tenggara,2024-12-29,kayla05@example.com,875066923,Yes,18-25,2024-12,Not Checked
CUST0026,Teddy,23,Male,Bengkulu,2024-12-07,hsihotang@example.net,801317419,Yes,18-25,2024-12,Not Checked
CUST0027,Elisa,21,Female,Sumatera Barat,2024-06-04,933elisa@example.com,888243008034,Yes,18-25,2024-06,Not Checked
CUST0028,Septi,43,Female,Bali,2024-11-14,septi362@example.com,856469458258,No,36-45,2024-11,Not Checked
CUST0029,Kiandra,52,Female,Jawa Barat,2024-02-28,hutapeadaryani@example.org,84150799109,Yes,46-60,2024-02,Not Checked
CUST0030,Hamima,61,Female,Kalimantan Barat,2024-09-16,ibrahimhartati@example.org,89959402600,Yes,60+,2024-09,Not Checked
CUST0031,Salimah,60,Female,Kalimantan Barat,2025-04-10,rafid56@example.org,8186096425,No,46-60,2025-04,Not Checked
CUST0032,Iriana,40,Female,Riau,2025-02-10,cagakkusumo@example.org,826260451,Yes,36-45,2025-02,Not Checked
CUST0033,Raden,47,Male,Kalimantan Selatan,2023-11-16,raden_6@example.com,8448856016,Yes,46-60,2023-11,Not Checked
CUST0034,Ani,39,Female,Kalimantan Barat,2025-08-08,ani_50@example.com,839710740771,No,36-45,2025-08,Not Checked
CUST0035,Yessi,21,Female,Gorontalo,2024-04-25,cawuk46@example.net,81027769908,No,18-25,2024-04,Not Checked
CUST0036,Amelia,28,Female,Sulawesi Tenggara,2025-06-13,phutapea@example.net,851504518,Yes,26-35,2025-06,Not Checked
CUST0037,Dewi,60,Female,Kepulauan Riau,2024-01-15,578dewi@example.com,803009617084,Yes,46-60,2024-01,Not Checked
CUST0038,Ganep,27,Male,unknown,2024-04-02,uwaishimawan@example.org,800743640,Yes,26-35,2024-04,Not Checked
CUST0039,Kawaya,22,Male,Sumatera Barat,2025-05-07,kawaya429@example.com,89967696232,Yes,18-25,2025-05,Not Checked
